Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"MSc Physics Core Courses, Semester IV",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room
PH5120,Project II,0-0-12-8,No,Yes,Soham Manni,-,-
,,,,,,,
,,,,,,,
"MSc Physics Elective Courses, Semester IV",,,,,,,
,,,,,,,
,Elective III (OE),See Elective Course Page,,,,,
,Elective IV (PSE),,,,,,
