Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"B. Tech. Mechanical Engineering Core Courses, Semester II and IV",,,,,,,
,,,,,,,
Code,Course Name,Credits,UG OE?,Prereq,Faculty,Slot,Room 
ME2010,Fluid Mechanics Theory and Practice,3-0-2-4,Yes ,No,"Ganesh Natarajan
Krishna S","B+,PA3","A01-202
D-03"
ME2030A,Manufacturing Processes-I,3-0-0-3,Yes ,Yes ,Dinesh  Setti,A,A01-202
ME2012,Mechanics of Solids: Theory and Practice,3-0-2-4,Yes ,Yes ,KVN Surendra ,"C+,PA1","A01-202
D-03"
