Indian Institute of Technology Palakkad,,,,,,,,
Jan – May 2024,,,,,,,,
M.Tech. in Manufacturing and Materials Engineering PE/OE/ERC Courses,,,,,,,,
,,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room No,Availability
ME5620,Advanced Heat Transfer,3-0-0-3,,Yes,Samarjeet Chanda,D+E1,A01-101,M.Tech./M.S./Ph.D.
ME5610,Soft Computing,3-0-0-3,Yes,No,"D Chakradhar
Samarjeet Chanda",L,A01-118,S4/S6/S8/M.Tech./M.S/Ph.D
ME5618,Additive Manufacturing ,3-0-0-3,Yes,Yes,Buchibabu ,H,A01-101,S6/S8/M.S/M.Tech/Ph.D
ME5628,Lean Manufacturing,2-0-2-3,Yes,Yes,"Girish Govande (ACMA) /
Chakradhar",F,A01-118,S6/S8/M.Tech (MME)/PhD
ME5634,Fundamentals of micro-nano manufacturing,2-0-2-3,Yes,Yes,Afzaal Ahmed,K+PA3,"A01-101
N Mech Lab ",s8/M.Tech./M.S./Ph.D.
ME5632,Computational Methods for Inverse Problems,3-0-0-0,Yes,Yes,Arijit Hazra,G (GCE),A01-101,S6/S8/M.S/Ph.D
