Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"MSc Mathematics Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE",Prereq,Faculty,Slot,Room 
MA5002,Multivariable Calculus,4-0-0-4,No,Yes,Sarath Sasi,"H, E4",N 308
MA5004,Measure Theory,4-0-0-4,No,Yes,V Muruganandam,"A, M3",N 308
MA5006,Fields and Modules,4-0-0-4,No,Yes,Parangama Sarkar,"G, Q",N 308
MA5008,Topology,4-0-0-4,No,Yes,Jaikrishnan J (coordinator),"F, E2",N 308
MA5010,Complex Analysis,4-0-0-4,No,Yes,G P Balakumar,"C,M1",N 308
