Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"B. Tech. Data Science Core Courses, Semester II",,,,,,,
,,,,,,,
Code,Course Name,Credits,UG OE?,Prereq,Faculty,Slot,Room 
DS2020,Introduction to Artificial Intelligence,3-0-2-4,No,Yes,Narayanan,"C, PA3","A01-002
A01-Comp Lab1 (100 seater lab)"
DS2040,Computer Systems for Data Science,3-0-3-5,No,Yes,Satyajit Das,"B, PA5","A01-001
A01- Comp Lab2 (35) "
DS3020,Database Systems,3-0-3-5,No,Yes,"Koninika, Sahely","A, PA1","A01-002
A01-Comp Lab1 (100 seater lab)"
