Indian Institute of Technology Palakkad,,,,,,,,
Jan – May 2024,,,,,,,,
M.Tech. in Power Electronics and Power Systems PE/OE/ERC Courses,,,,,,,,
,,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room No,Availability
EE5523,Electric Drives,3-0-0-3,No,Yes,Arun Rahul S,"C
",A01-214,Mtech PEPS/ MS/PhD
EE5525,Sensors and Signal Conditioning Circuits,3-0-0-3,No,Yes,Sreenath Vijayakumar,"K
",A01-119,Mtech PEPS/Mtech SoCD/UGEES6/UGEES8/MS/PhD
EE5514,Renewable Energy Systems,3-0-0-3,No,Yes,Naga Brahmendra,"B
",A01-214,Mtech PEPS/ UGEES8 / MS/PhD
