Indian Institute of Technology Palakkad,,,,,,,,
Jan – May 2024,,,,,,,,
Mechanical Engineering PME & ERC Courses,,,,,,,,
,,,,,,,,
Code,Course Name,Credits,"UG OE/
GCE?",Prereq,Faculty,Slot,Room No,Availability
ME5617,Wheeled Mobile Robots,3-0-0-3,Yes,No,Santhakumar Mohan,D+E1,A01-118,S6/S8/M.S/Ph.D
ME4502,Aerospace Propulsion,3-0-0-3,Yes,Yes,T Sundararajan,K,A01-118,S4/S6/S8
ME5610,Soft Computing,3-0-0-3,Yes,No,"D Chakradhar
Samarjeet Chanda",L,A01-118,S4/S6/S8/M.Tech./M.S/Ph.D
ME5620,Advanced Heat Transfer,3-0-0-3,No,Yes,"Samarjeet Chanda
Pramod K",D+E1,A01-101,M.Tech./M.S./Ph.D.
ME5619,Combustion,3-0-0-3,No,No,Krishna S,I,A01-101,M.Tech./M.S./Ph.D.
ME5628,Lean Manufacturing,2-0-2-3,Yes,Yes,"Girish Govande (ACMA) /
D Chakradhar (coordinator)",F,A01-118,S6/S8/M.Tech (MME)/PhD
ME5626,Advanced Refrigeration and Air Conditioning,3-0-0-3,Yes,Yes,"Vineed Narayanan
Pramod K",L,A01-202,S6/S8/M.S/Ph.D
ME5618,Additive Manufacturing,3-0-03,Yes,Yes,Buchibabu Vicharapu,H,A01-101,S6/S8/M.S/M.Tech/Ph.D
ME5634,Fundamentals of micro-nano manufacturing,2-0-2-3,Yes,Yes,Afzaal Ahmed,"K+
PA3","A01-101
N Mech Lab ",S8/M.Tech./M.S./Ph.D.
