Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"B. Tech. SME Courses, Semester II and IV",,,,,,,
,,,,,,,
Code,Course Name,Credits,UG OE?,Prereq,Faculty,Slot,Room
MA2041,Probability and Statistics,3-0-0-3,Yes,,Arpan Kabiraj,F,A01-002
MA2032,Numerical Analysis,3-0-0-3,Yes,,Gopikrishnan C R,F,A01-213
PH4602,Introduction to Special Relativity,3-0-0-3,Yes,,Manoj Gopalakrishnan,G,A01-001
PH3601,Quantum Mechanics for Engineers,3-0-0-3,Yes,Yes,"Amit Kumar Pal
Uma Divakaran
","G
",A01-214
CY3601,Electrochemistry and Corrosions,3-0-0-3,Yes,,Padmesh A,"G
",A01-202
CY4001,Industrial Chemistry,3-0-0-3,Yes,No,Umadevi,F,A01-202
