Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"B. Tech. HSE Courses, Semester II, IV",,,,,,,
,,,,,,,
Code,Course Name,Credits,UG OE?,Prereq,Faculty,Slot,Room
HS2031,Principles of Economics (40),3-0-0-3,Yes,No,Amrita Roy,H,A01-202
HS2302,Introduction to Language and Society(40),3-0-0-3,Yes,No,Reenu Punnoose,H,A01-212
HSxxxx,"Mental Health and Law (tentative title , course yet to be approved) (40)",,Yes,No,Sudarshan R Kottai,H,A01-213
HS2304,Culture and Gender Performativity(40)  ,3-0-0-3,Yes,No,G Sujatha ,H,A01-214
