Indian Institute of Technology Palakkad,,,,,,,
Jan – May 2024,,,,,,,
"B. Tech. Civil Engineering Core Courses, Semester II and IV",,,,,,,
,,,,,,,
Code,Course Name,Credits,UG OE?,Prereq,Faculty,Slot,Room 
CE2020,Structural Analysis,2-1-2-4,Yes,Yes,Madhu Karthik M,"A, PA1","A01-213
N Civil Lab"
CE2060,Soil Mechanics,3-0-2-4,Yes,Yes,Sudheesh T. K.,"B, PA3","A01-213
N Civil Lab"
CE2040,Hydraulic Engineering,3-0-2-4,Yes,No,Athira P.,"C, PA5","A01-213
N Civil Lab"
